,mae,mae,mae,mae,mape,mape,mape,mape,r2,r2,r2,r2,rmse,rmse,rmse,rmse
model,sarima,seasonal_naive_168,seasonal_naive_24,xgboost,sarima,seasonal_naive_168,seasonal_naive_24,xgboost,sarima,seasonal_naive_168,seasonal_naive_24,xgboost,sarima,seasonal_naive_168,seasonal_naive_24,xgboost
target,,,,,,,,,,,,,,,,
biomass_mwh_smard,,123.23,84.89,65.98,,3.01,2.05,1.68,,0.79,0.89,0.93,,165.75,118.1,99.33
carbon_intensity_g_kwh,,113.6,79.26,10.28,,37.41,25.55,3.41,,-0.22,0.36,0.99,,146.79,106.01,14.83
load_mw,554.82,2646.8,3931.12,492.77,1.1,5.11,7.59,0.94,0.99,0.8,0.59,1.0,765.58,4037.42,5864.52,644.88
other_renewables_mwh_smard,,10.99,6.29,3.94,,9.16,5.23,3.99,,0.57,0.83,0.93,,16.36,10.39,6.78
pumped_storage_gen_mwh_smard,,618.03,670.01,347.45,,296.62,334.84,208.55,,0.55,0.47,0.87,,1023.62,1118.48,554.63
run_of_river_mwh_smard,,205.27,143.87,62.85,,12.17,8.34,3.57,,0.53,0.74,0.95,,267.75,196.81,90.62
solar_mw,,2707.57,1756.8,887.02,,47.73,30.95,81.78,,0.8,0.91,0.96,,5516.66,3693.04,2565.56
wind_offshore_mw,,2040.78,1714.52,255.68,,418.45,284.81,16.15,,-0.62,-0.2,0.96,,2571.3,2209.04,379.57
wind_onshore_mw,,9557.33,7042.0,517.22,,172.05,104.92,6.15,,-0.67,0.06,0.99,,12597.91,9435.28,819.81
