model,target,split,horizon,mae,rmse,mape,smape,r2,nrmse,evaluated_step,sample_count,quick,meta,_registry_source,display_model
timesfm_2_5,biomass_mwh_smard,test,24,28.69429407702981,39.77119861780904,0.6919799207088709,0.692046084573675,0.9880875373823907,0.016783221267376573,1,32229,False,"{'run_mode': 'full', 'device': 'cuda', 'dtype': 'float32', 'batch_size': 16, 'context_length': 168, 'inference_seconds': 154.50904129998526, 'benchmark_set': 'final_six_v1'}",foundation,TimesFM 2.5
chronos_t5_small,biomass_mwh_smard,test,24,32.74843736819179,44.887172628025745,0.7904444997746481,0.7901350784672091,0.984825699071082,0.018942133414750643,1,32229,False,"{'run_mode': 'full', 'device': 'cuda', 'dtype': 'bfloat16', 'batch_size': 16, 'context_length': 168, 'inference_seconds': 427.7271461999917, 'benchmark_set': 'final_six_v1'}",foundation,Chronos-T5-small
moirai_2_0_small,biomass_mwh_smard,test,24,34.76308899484451,48.488858927045115,0.8396890271134103,0.8358759413903862,0.9822928723024047,0.0204620246977117,1,32229,False,"{'run_mode': 'full', 'device': 'cpu', 'dtype': 'float32', 'batch_size': 16, 'context_length': 168, 'inference_seconds': 34.212860899977386, 'benchmark_set': 'final_six_v1'}",foundation,Moirai 2.0 Small
xgboost,biomass_mwh_smard,test,24,65.97509996668131,99.33404513963546,1.683867333097605,1.6598247745431418,0.9256877460690721,0.04191840620603141,1,32229,False,{},baseline,XGBoost
seasonal_naive_24,biomass_mwh_smard,test,24,84.88813968040478,118.10367999459669,2.05409282412454,2.053160137885059,0.8949512107994912,0.04983908614092324,1,32229,False,{},baseline,Seasonal Naive (24 h)
seasonal_naive_168,biomass_mwh_smard,test,24,123.2253211620721,165.7506443550826,3.006346853954707,3.0002257625811244,0.793093258205442,0.06994583608490806,1,32229,False,{},baseline,Seasonal Naive (168 h)
chronos_t5_small,carbon_intensity_g_kwh,test,24,8.866461340672156,12.190612414341375,2.810695489101485,2.8091199053962805,0.9915786921991784,0.020761368578965725,1,32229,False,"{'run_mode': 'full', 'device': 'cuda', 'dtype': 'bfloat16', 'batch_size': 16, 'context_length': 168, 'inference_seconds': 429.11791650002124, 'benchmark_set': 'final_six_v1'}",foundation,Chronos-T5-small
timesfm_2_5,carbon_intensity_g_kwh,test,24,9.04087279868165,12.321188807916482,2.927214155959561,2.9279755484244028,0.9913973209728049,0.020983748271025792,1,32229,False,"{'run_mode': 'full', 'device': 'cuda', 'dtype': 'float32', 'batch_size': 16, 'context_length': 168, 'inference_seconds': 163.88399040000513, 'benchmark_set': 'final_six_v1'}",foundation,TimesFM 2.5
xgboost,carbon_intensity_g_kwh,test,24,10.284287210143894,14.826180930679492,3.4145332858191817,3.3525439427921753,0.987543756615562,0.02524990512848654,1,32229,False,{},baseline,XGBoost
moirai_2_0_small,carbon_intensity_g_kwh,test,24,10.474913229384983,14.13125697260886,3.3974542085764314,3.375338293826677,0.9886840744383868,0.024066406552903485,1,32229,False,"{'run_mode': 'full', 'device': 'cpu', 'dtype': 'float32', 'batch_size': 16, 'context_length': 168, 'inference_seconds': 32.76131760000135, 'benchmark_set': 'final_six_v1'}",foundation,Moirai 2.0 Small
seasonal_naive_24,carbon_intensity_g_kwh,test,24,79.26484507864004,106.0080580989383,25.547066430845998,23.893889513993948,0.3631953119512893,0.18053829387138115,1,32229,False,{},baseline,Seasonal Naive (24 h)
seasonal_naive_168,carbon_intensity_g_kwh,test,24,113.5984871809961,146.79018724872103,37.407755748666155,33.67708347363851,-0.22101934007622326,0.24999278770120287,1,32229,False,{},baseline,Seasonal Naive (168 h)
xgboost,load_mw,test,24,492.7674578273357,644.8761728303342,0.9437873873132098,0.9412216381718846,0.9950176073103411,0.01362267100548259,1,32228,False,{},baseline,XGBoost
chronos_t5_small,load_mw,test,24,511.2830105275304,664.3583365393571,0.9882941917465533,0.987655959294376,0.9947120167570823,0.01403422149822005,1,32228,False,"{'run_mode': 'full', 'device': 'cuda', 'dtype': 'bfloat16', 'batch_size': 16, 'context_length': 168, 'inference_seconds': 529.1959262000164, 'benchmark_set': 'final_six_v1'}",foundation,Chronos-T5-small
sarima,load_mw,test,24,554.819805888896,765.5783883705284,1.0953811359933592,1.0943746112407011,0.9929779385998464,0.016172442017675846,1,32228,False,{},baseline,SARIMA
timesfm_2_5,load_mw,test,24,560.9676410797676,752.5924982450271,1.085835637290175,1.0873728839387957,0.9932141373934178,0.015898121898021506,1,32228,False,"{'run_mode': 'full', 'device': 'cuda', 'dtype': 'float32', 'batch_size': 16, 'context_length': 168, 'inference_seconds': 154.0100148000056, 'benchmark_set': 'final_six_v1'}",foundation,TimesFM 2.5
